model,model_slug,weighting,level,coverage,interval_score,width
DR normal,dr_normal,equal,0.5,0.9175942149148194,0.021256941543437727,0.014763115765030579
DR normal,dr_normal,volume,0.5,0.6829533334052661,0.06474765941167816,0.03631154876789318
DR normal,dr_normal,contract_balanced,0.5,0.8159898420980308,0.06617925251187852,0.04704277877956675
DR-AS normal,dras_normal,equal,0.5,0.9236004646214977,0.02175441487308684,0.01563362360805118
DR-AS normal,dras_normal,volume,0.5,0.8849534643312583,0.0743291652174254,0.056201450509064596
DR-AS normal,dras_normal,contract_balanced,0.5,0.9235147284069811,0.07812554729503035,0.06670269199694796
"Beta, no hurdle",beta_no_hurdle,equal,0.5,0.9157150008604101,0.021401431187339625,0.015020757520431641
"Beta, no hurdle",beta_no_hurdle,volume,0.5,0.7716615684122208,0.07053688050039525,0.047004602641291825
"Beta, no hurdle",beta_no_hurdle,contract_balanced,0.5,0.8702037461181564,0.07521403770624992,0.05963792793148138
"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,0.5,0.8361984340534706,0.01219751525834828,0.001870170513716443
"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,0.5,0.6759915977479457,0.06025050701185431,0.026914184555689356
"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,0.5,0.7507542623186738,0.05908740814571551,0.03677415287699572
MHB,mhb,equal,0.5,0.8362707867277819,0.012227703051804708,0.0019134773701240061
MHB,mhb,volume,0.5,0.6720724279268214,0.060377486655383256,0.026202648128720765
MHB,mhb,contract_balanced,0.5,0.7476064943422005,0.05910120706331478,0.03656137795314236
DR normal,dr_normal,equal,0.8,0.9582143751075513,0.04050671982658938,0.027786852518674306
DR normal,dr_normal,volume,0.8,0.8047101115996371,0.11430709242105296,0.06667161931581866
DR normal,dr_normal,contract_balanced,0.8,0.8997129776302198,0.12236269716347045,0.08551530175735693
DR-AS normal,dras_normal,equal,0.8,0.9621263082145707,0.04118890588448893,0.029393428904352332
DR-AS normal,dras_normal,volume,0.8,0.9348596058129953,0.12300356815082661,0.10236867906475422
DR-AS normal,dras_normal,contract_balanced,0.8,0.9667570661917967,0.13871442590440977,0.12038171680793941
"Beta, no hurdle",beta_no_hurdle,equal,0.8,0.9603174913567887,0.040656936720876835,0.028591221467855393
"Beta, no hurdle",beta_no_hurdle,volume,0.8,0.903363375677536,0.11926353844686888,0.08671688733184135
"Beta, no hurdle",beta_no_hurdle,contract_balanced,0.8,0.9510796381639776,0.13208388144148908,0.11010732037064125
"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,0.8,0.8727404455360356,0.0296452915346589,0.009020426529701711
"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,0.8,0.8783427811654609,0.11043233661404038,0.07428090962511184
"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,0.8,0.8987194104837644,0.12189627528770568,0.09369608167079102
MHB,mhb,equal,0.8,0.8744553994649813,0.0299470982143058,0.009493115209651242
MHB,mhb,volume,0.8,0.8768152750139504,0.10950415856869787,0.0731280445739883
MHB,mhb,contract_balanced,0.8,0.8985256676993306,0.12180445725171776,0.09360478763525007
DR normal,dr_normal,equal,0.95,0.9742111603022386,0.08448868297955281,0.04195610505122137
DR normal,dr_normal,volume,0.95,0.8755854396547514,0.24223860101553807,0.0971912004059458
DR normal,dr_normal,contract_balanced,0.95,0.9327857042536325,0.24290243298563657,0.12277922635597839
DR-AS normal,dras_normal,equal,0.95,0.9770006492185911,0.0834735561719014,0.044321825727986396
DR-AS normal,dras_normal,volume,0.95,0.9801534316712417,0.18991075528792156,0.14852551600039507
DR-AS normal,dras_normal,contract_balanced,0.95,0.9808402834889336,0.22458944549303345,0.17203418053679015
"Beta, no hurdle",beta_no_hurdle,equal,0.95,0.9764589819000986,0.08372008390992286,0.043897556169556574
"Beta, no hurdle",beta_no_hurdle,volume,0.95,0.9485516428116338,0.21271435616493345,0.1289303532818616
"Beta, no hurdle",beta_no_hurdle,contract_balanced,0.95,0.9742298898598034,0.2257268662781556,0.1628505780837935
"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,0.95,0.9317049418832032,0.08717236678736856,0.031853127324604394
"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,0.95,0.9487578703603169,0.214901458259722,0.1389629164820253
"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,0.95,0.9638735663773289,0.23378569267537005,0.16928821099725563
MHB,mhb,equal,0.95,0.9340925801354755,0.08721204489924017,0.03273892157755612
MHB,mhb,volume,0.95,0.9487054337412765,0.21525310090217403,0.13934389316176587
MHB,mhb,contract_balanced,0.95,0.9641576657121212,0.2341644857520801,0.16996019758753755
