model_a,model_b,regime,metric,weighting,difference_b_minus_a,ci_low,ci_high,clusters,draws
DR-AS normal,DR normal,active,nll,equal,1.1933231957219466,1.0356350323289252,1.3580933548057703,1335,999
DR-AS normal,DR normal,active,is,equal,0.011242191095600526,0.009972147435900143,0.012590259079735183,1335,999
DR-AS normal,DR normal,active,nll,volume,15.641007686543055,1.4557898038518189,31.582362998212268,1254,999
DR-AS normal,DR normal,active,is,volume,0.16779991988966628,0.018720160767774018,0.2556534468707221,1254,999
DR-AS normal,DR normal,active,nll,contract_balanced,8.68607864624241,6.635064316540289,11.045241840324838,1335,999
DR-AS normal,DR normal,active,is,contract_balanced,0.07643989684016347,0.057916953892838435,0.09924763214284435,1335,999
