model_a,model_b,metric,weighting,difference_b_minus_a,ci_low,ci_high,clusters,draws
MHB,DR normal,nll,equal,1.3647889598449832,1.257805090548549,1.4786191364334722,1404,999
MHB,DR-AS normal,nll,equal,1.1751964713255394,1.0734169237663185,1.276824529494078,1404,999
MHB,"Beta, no hurdle",nll,equal,1.2950847171187998,1.2006404100434922,1.4035784827008402,1404,999
MHB,"Hurdle beta, post-hoc coherence",nll,equal,4.893786732619915,4.382575073487647,5.440168856388805,1404,999
MHB,DR normal,is,equal,-0.0027233619196873546,-0.0035969124842668543,-0.0019009771644969363,1404,999
MHB,DR-AS normal,is,equal,-0.0037384887273387646,-0.004655646388243963,-0.0028344592832442598,1404,999
MHB,"Beta, no hurdle",is,equal,-0.0034919609893173244,-0.0044482121257688675,-0.0025538746379118946,1404,999
MHB,"Hurdle beta, post-hoc coherence",is,equal,-3.967811187161885e-05,-0.00011119313383609892,3.3665560490575756e-05,1404,999
MHB,DR normal,nll,volume,4.108483827540305,-5.7840645587331805,11.731569596068354,1394,999
MHB,DR-AS normal,nll,volume,-2.400236707902651,-6.303762412253881,-0.7809765928941949,1394,999
MHB,"Beta, no hurdle",nll,volume,0.7420844747038106,0.6184917643524198,1.0627268369582765,1394,999
MHB,"Hurdle beta, post-hoc coherence",nll,volume,0.501749192947124,0.12978666234561892,1.4194536869210839,1394,999
MHB,DR normal,is,volume,0.026985500113363998,-0.014319133028963904,0.05709334497014178,1394,999
MHB,DR-AS normal,is,volume,-0.02534234561425248,-0.03715236214872163,-0.010739707635891752,1394,999
MHB,"Beta, no hurdle",is,volume,-0.0025387447372405853,-0.01469111466229667,0.0043349088755772515,1394,999
MHB,"Hurdle beta, post-hoc coherence",is,volume,-0.0003516426424520458,-0.0011412428826321705,1.1596352286704947e-05,1394,999
MHB,DR normal,nll,contract_balanced,1.4426624472223157,-0.24779748350023326,3.3222033282787464,1404,999
MHB,DR-AS normal,nll,contract_balanced,-2.456060845750174,-3.7793997170743663,-1.3293225458487405,1404,999
MHB,"Beta, no hurdle",nll,contract_balanced,0.8627237483610325,0.7383863054631348,1.0163100607872375,1404,999
MHB,"Hurdle beta, post-hoc coherence",nll,contract_balanced,2.191611386689365,1.4018249379837708,3.368271876359178,1404,999
MHB,DR normal,is,contract_balanced,0.008737947233556516,-0.00129018808679054,0.019862751911046056,1404,999
MHB,DR-AS normal,is,contract_balanced,-0.009575040259046614,-0.013286259078466848,-0.006450923783313772,1404,999
MHB,"Beta, no hurdle",is,contract_balanced,-0.008437619473924475,-0.01003850482225392,-0.006929647602216065,1404,999
MHB,"Hurdle beta, post-hoc coherence",is,contract_balanced,-0.00037879307671000986,-0.0007155669166092816,-2.9965361511526547e-05,1404,999
