model,model_slug,weighting,brier_score,log_loss,predicted_update_rate,observed_update_rate
Separate hazard,unconstrained,equal,0.14733388841425735,0.5270997081463303,0.14621405770738272,0.17627849130985718
Post-hoc coherent hazard,posthoc,equal,0.14723659386697946,0.5235235319227703,0.14709225128262,0.17627849130985718
MHB coherent hazard,mhb,equal,0.15227149328254957,0.5277101733553881,0.16067354378941437,0.17627849130985718
Separate hazard,unconstrained,volume,0.22830626829638756,0.6695583724280595,0.5023857415428106,0.4449154543938173
Post-hoc coherent hazard,posthoc,volume,0.22895981924835154,0.712952947637954,0.5037205082793119,0.4449154543938173
MHB coherent hazard,mhb,volume,0.23073605795521387,0.7191784463907388,0.49807955007486776,0.4449154543938173
Separate hazard,unconstrained,contract_balanced,0.22997816702131063,0.7152245194157479,0.4668787735207386,0.4374064384411049
Post-hoc coherent hazard,posthoc,contract_balanced,0.23131933440848398,0.7772166356670259,0.4693094519470577,0.4374064384411049
MHB coherent hazard,mhb,contract_balanced,0.23176244427051015,0.7805960745056435,0.4676255130428654,0.4374064384411049
