model,model_slug,weighting,negative_log_score,interval_score,coverage,width
DR normal,dr_normal,equal,3.9025467148750406,0.08448868297955281,0.9742111603022386,0.04195610505122137
DR-AS normal,dras_normal,equal,3.7129542263555964,0.0834735561719014,0.9770006492185911,0.044321825727986396
"Beta, no hurdle",beta_no_hurdle,equal,3.832842472148857,0.08372008390992286,0.9764589819000986,0.043897556169556574
"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,7.431544487649972,0.08717236678736856,0.9317049418832032,0.031853127324604394
MHB,mhb,equal,2.537757755030057,0.08721204489924017,0.9340925801354755,0.03273892157755612
DR normal,dr_normal,volume,9.633514224196016,0.24223860101553807,0.8755854396547514,0.0971912004059458
DR-AS normal,dras_normal,volume,3.1247936887530585,0.18991075528792156,0.9801534316712417,0.14852551600039507
"Beta, no hurdle",beta_no_hurdle,volume,6.26711487135952,0.21271435616493345,0.9485516428116338,0.1289303532818616
"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,6.026779589602833,0.214901458259722,0.9487578703603169,0.1389629164820253
MHB,mhb,volume,5.525030396655708,0.21525310090217403,0.9487054337412765,0.13934389316176587
DR normal,dr_normal,contract_balanced,7.994248839585543,0.24290243298563657,0.9327857042536325,0.12277922635597839
DR-AS normal,dras_normal,contract_balanced,4.095525546613055,0.22458944549303345,0.9808402834889336,0.17203418053679015
"Beta, no hurdle",beta_no_hurdle,contract_balanced,7.414310140724261,0.2257268662781556,0.9742298898598034,0.1628505780837935
"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,8.743197779052593,0.23378569267537005,0.9638735663773289,0.16928821099725563
MHB,mhb,contract_balanced,6.551586392363229,0.2341644857520801,0.9641576657121212,0.16996019758753755
