model,model_slug,mean,variance,grid_cvm
DR normal,dr_normal,0.5005889268597813,0.03192987583346859,0.020206085711112983
DR-AS normal,dras_normal,0.5005555191879288,0.030518069876081882,0.02130361046396792
MHB,mhb,0.5011813616566293,0.08796467370556771,7.412039195732611e-05
