month,model,weighting,n,k_original,k_mhb,negative_log_score,interval_score,coverage,width
2026-04,DR normal,equal,7262,1.137482994874405,0.611444497493085,4.088012066894281,0.13323604163745856,0.9483613329661249,0.05409660343823156
2026-04,DR normal,volume,7262,1.137482994874405,0.611444497493085,4.669591016690262,0.4518784729106858,0.9025827478891653,0.15444405568569555
2026-04,DR-AS normal,equal,7262,1.137482994874405,0.611444497493085,3.33255164588938,0.13970440124410002,0.9596529881575322,0.08307670611128176
2026-04,DR-AS normal,volume,7262,1.137482994874405,0.611444497493085,3.929142592365221,0.44155698795152637,0.9534922843576381,0.2901199205233945
2026-04,"Beta, no hurdle",equal,7262,1.137482994874405,0.611444497493085,3.0783624240693728,0.1367747225554382,0.9592398788212612,0.07653051247995396
2026-04,"Beta, no hurdle",volume,7262,1.137482994874405,0.611444497493085,4.09818216003617,0.4297814199491946,0.9440453905182665,0.252443388429862
2026-04,"Hurdle beta, post-hoc coherence",equal,7262,1.137482994874405,0.611444497493085,2.0564265246058726,0.13679790530474978,0.9658496282015971,0.08298785531675051
2026-04,"Hurdle beta, post-hoc coherence",volume,7262,1.137482994874405,0.611444497493085,3.1085584182973016,0.40988068875078953,0.9528381715140644,0.25585812331087493
2026-04,MHB,equal,7262,1.137482994874405,0.611444497493085,2.057760887507353,0.13694087162994356,0.9664004406499584,0.0833289811460628
2026-04,MHB,volume,7262,1.137482994874405,0.611444497493085,3.1405774075897392,0.40964028871305097,0.9549220639939524,0.25711979098193954
