model,model_slug,weighting,brier_score,log_loss,predicted_update_rate,observed_update_rate
Separate hazard,unconstrained,equal,0.4414554271336407,1.5266131675114838,0.6993710246881202,0.39222829386763813
Post-hoc coherent hazard,posthoc,equal,0.4411278451729823,1.5251169364613715,0.6999838002079684,0.39222829386763813
MHB coherent hazard,mhb,equal,0.4212458499356582,1.3652442405775465,0.7285132246523904,0.39222829386763813
Separate hazard,unconstrained,volume,0.3497836939363726,1.1330282351855403,0.2297611635216009,0.48860912989701744
Post-hoc coherent hazard,posthoc,volume,0.3467187766732971,1.1178834658396861,0.23660885361820375,0.48860912989701744
MHB coherent hazard,mhb,volume,0.3133089749978701,0.9093258625769722,0.2793633139474508,0.48860912989701744
