month,model,model_slug,weighting,n,weight_sum,k_original,k_mhb,negative_log_score,interval_score,coverage,width
2022-03,DR normal,dr_normal,equal,1951,1951.0,0.10905516490091453,0.06208793466950718,10.202921251067576,0.15169195326696333,0.9431060994361867,0.02569842663705637
2022-03,DR normal,dr_normal,volume,1951,267821.0,0.10905516490091453,0.06208793466950718,6.564355814273615,0.0963362571953747,0.9412966122895515,0.041195724464039025
2022-03,DR normal,dr_normal,contract_balanced,1951,54.0,0.10905516490091453,0.06208793466950718,11.36189440691989,0.25962298865620104,0.8407031044548361,0.02635995085131592
2022-03,DR-AS normal,dras_normal,equal,1951,1951.0,0.10905516490091453,0.06208793466950718,9.312781237430247,0.1478591671822057,0.9605330599692468,0.03513853467694727
2022-03,DR-AS normal,dras_normal,volume,1951,267821.0,0.10905516490091453,0.06208793466950718,2.853547066370357,0.12903186017323082,0.9877119419313645,0.11351721888655673
2022-03,DR-AS normal,dras_normal,contract_balanced,1951,54.0,0.10905516490091453,0.06208793466950718,4.3742786080102825,0.19635486120472928,0.9227688487334682,0.06817620332499044
2022-03,"Beta, no hurdle",beta_no_hurdle,equal,1951,1951.0,0.10905516490091453,0.06208793466950718,9.586221353746161,0.14706245346560273,0.9569451563300873,0.03216921543183494
2022-03,"Beta, no hurdle",beta_no_hurdle,volume,1951,267821.0,0.10905516490091453,0.06208793466950718,2.7526643275128757,0.11388659355314562,0.9779591592892267,0.09325802568688764
2022-03,"Beta, no hurdle",beta_no_hurdle,contract_balanced,1951,54.0,0.10905516490091453,0.06208793466950718,4.307591107159855,0.20319395571220178,0.8942108557009435,0.055791416278038394
2022-03,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,1951,1951.0,0.10905516490091453,0.06208793466950718,5.7925398664258285,0.14755715876794412,0.9656586365966173,0.03808008599951577
2022-03,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,1951,267821.0,0.10905516490091453,0.06208793466950718,2.1188395638848947,0.12022486902301888,0.9877119419313645,0.10398668972098676
2022-03,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,1951,54.0,0.10905516490091453,0.06208793466950718,1.8773992171751566,0.19161651629465232,0.9290819800465995,0.06557440008677536
2022-03,MHB,mhb,equal,1951,1951.0,0.10905516490091453,0.06208793466950718,6.154618308496223,0.14753442158189495,0.9656586365966173,0.03800696214806234
2022-03,MHB,mhb,volume,1951,267821.0,0.10905516490091453,0.06208793466950718,2.118730521778356,0.12024705184391023,0.9877119419313645,0.10401224813315935
2022-03,MHB,mhb,contract_balanced,1951,54.0,0.10905516490091453,0.06208793466950718,1.869817478037287,0.19149011862538207,0.9290819800465995,0.06521986783984403
2022-04,DR normal,dr_normal,equal,5155,5155.0,0.0922893944277448,0.04475876700396431,11.898535610206057,0.22655502214668816,0.9216294859359844,0.036717035825565014
2022-04,DR normal,dr_normal,volume,5155,340865.0,0.0922893944277448,0.04475876700396431,4.5444791109614675,0.14275241707752864,0.9095888401566603,0.04508208081928157
2022-04,DR normal,dr_normal,contract_balanced,5155,103.0,0.0922893944277448,0.04475876700396431,14.959120148131383,0.2758566591635288,0.8799915086548641,0.02988719910719954
2022-04,DR-AS normal,dras_normal,equal,5155,5155.0,0.0922893944277448,0.04475876700396431,11.917884236905817,0.22724105073694606,0.9278370514064016,0.04189051230116801
2022-04,DR-AS normal,dras_normal,volume,5155,340865.0,0.0922893944277448,0.04475876700396431,4.7575831999648335,0.13822371624159202,0.987828025757998,0.11469085916215094
2022-04,DR-AS normal,dras_normal,contract_balanced,5155,103.0,0.0922893944277448,0.04475876700396431,15.229575164018035,0.28585278020641947,0.9385516302937014,0.07005457248772567
