model,model_slug,mean,variance,grid_cvm
DR normal,dr_normal,0.5007318864011648,0.03145130234470196,0.020350511265785902
DR-AS normal,dras_normal,0.500674807039413,0.030095218536789214,0.021427741827716444
MHB,mhb,0.5013133797519499,0.08810419074819546,7.332368998925113e-05
