model_a,model_b,regime,metric,weighting,difference_b_minus_a,ci_low,ci_high,clusters,draws
DR-AS normal,DR normal,active,nll,equal,0.8770098930914594,0.7504626831051951,1.0184787518659293,1335,999
DR-AS normal,DR normal,active,is,equal,0.007120720734378727,0.00614955273728753,0.008196633015244585,1335,999
DR-AS normal,DR normal,active,nll,volume,15.57784080475931,1.2738848947595345,29.97524763359652,1250,999
DR-AS normal,DR normal,active,is,volume,0.16672430929451465,0.015823604453377372,0.2619609746963719,1250,999
DR-AS normal,DR normal,active,nll,contract_balanced,6.177406222327094,4.586730902451786,7.976678560029485,1335,999
DR-AS normal,DR normal,active,is,contract_balanced,0.03995271411075513,0.029478607828877394,0.05118605105692433,1335,999
