threshold,model_slug,negative_log_score,interval_score
0.2,hurdle_posthoc,6.032073785740907,0.2147765987510739
0.2,mhb,5.527139350246399,0.2151366282556816
0.05,hurdle_posthoc,6.160169504312196,0.2168129493255426
0.05,mhb,5.561518687227101,0.2171989531681249
0.1,hurdle_posthoc,6.044488837259284,0.2151147948869336
0.1,mhb,5.5344323094006445,0.215476087591986
0.5,hurdle_posthoc,6.026779589602833,0.214901458259722
0.5,mhb,5.525030396655708,0.215253100902174
1.0,hurdle_posthoc,6.060812597315756,0.2151447263178296
1.0,mhb,5.524617023285031,0.2154858707474083
