category,regime,model,model_slug,weighting,n,weight_sum,negative_log_score,interval_score
All,active,DR normal,dr_normal,equal,174264,174264.0,13.442096750490412,0.26938917174690746
All,active,DR-AS normal,dras_normal,equal,174264,174264.0,12.565086857398953,0.26226845101252877
All,active,"Beta, no hurdle",beta_no_hurdle,equal,174264,174264.0,12.484818258220987,0.2632144704073113
All,active,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,174264,174264.0,39.61295109403847,0.34266956374567464
All,active,MHB,mhb,equal,174264,174264.0,10.479190999192001,0.3392443700059624
All,active,DR normal,dr_normal,volume,174264,466559148.67,19.492224172178553,0.4411633354657721
All,active,DR-AS normal,dras_normal,volume,174264,466559148.67,3.9143833674192434,0.2744390261712574
All,active,"Beta, no hurdle",beta_no_hurdle,volume,174264,466559148.67,7.975940096601858,0.34263230555306073
All,active,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,174264,466559148.67,9.456408260866123,0.33776132651807805
All,active,MHB,mhb,volume,174264,466559148.67,8.324431672631924,0.33850099912963866
All,active,DR normal,dr_normal,contract_balanced,174264,1335.0,18.67540884401305,0.44658195938275874
All,active,DR-AS normal,dras_normal,contract_balanced,174264,1335.0,12.498002621685956,0.4066292452720035
All,active,"Beta, no hurdle",beta_no_hurdle,contract_balanced,174264,1335.0,15.525400149781152,0.41333676380719575
All,active,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,174264,1335.0,20.16876591615225,0.43775684804179943
All,active,MHB,mhb,contract_balanced,174264,1335.0,11.51150995927775,0.4369431783129524
Economics,active,DR normal,dr_normal,equal,162537,162537.0,14.004593683693237,0.27324739194403364
Economics,active,DR-AS normal,dras_normal,equal,162537,162537.0,13.100946471537263,0.26567235187114724
Economics,active,"Beta, no hurdle",beta_no_hurdle,equal,162537,162537.0,12.912579557489929,0.2666915162996274
Economics,active,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,162537,162537.0,39.66086598242084,0.34446812684322636
Economics,active,MHB,mhb,equal,162537,162537.0,10.66492967618686,0.3408599714355106
Economics,active,DR normal,dr_normal,volume,162537,60136911.67,7.434511679027478,0.27701672838246244
Economics,active,DR-AS normal,dras_normal,volume,162537,60136911.67,4.995731456732804,0.2455221006831019
Economics,active,"Beta, no hurdle",beta_no_hurdle,volume,162537,60136911.67,5.6120282611512975,0.24588981308669028
Economics,active,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,162537,60136911.67,8.530677311240542,0.261351792601542
Economics,active,MHB,mhb,volume,162537,60136911.67,5.691508885080648,0.2627323654650187
Economics,active,DR normal,dr_normal,contract_balanced,162537,1111.0,18.488165978445487,0.38459976433241116
Economics,active,DR-AS normal,dras_normal,contract_balanced,162537,1111.0,11.183645665401471,0.3386663378066439
Economics,active,"Beta, no hurdle",beta_no_hurdle,contract_balanced,162537,1111.0,10.940599179906009,0.342787269700958
Economics,active,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,162537,1111.0,18.160496576051834,0.36469258634700413
Economics,active,MHB,mhb,contract_balanced,162537,1111.0,8.609773424839043,0.36365879112665156
Politics,active,DR normal,dr_normal,equal,2260,2260.0,5.434047795930109,0.1693408234423401
Politics,active,DR-AS normal,dras_normal,equal,2260,2260.0,3.84409426806812,0.17141931780133776
Politics,active,"Beta, no hurdle",beta_no_hurdle,equal,2260,2260.0,4.433439678532604,0.16920871384528696
Politics,active,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,2260,2260.0,7.747333602741374,0.20299085549538534
Politics,active,MHB,mhb,equal,2260,2260.0,5.278964708818257,0.20241549773265
Politics,active,DR normal,dr_normal,volume,2260,311381603.0,25.407999461622698,0.44606602866085493
Politics,active,DR-AS normal,dras_normal,volume,2260,311381603.0,3.3142919823337755,0.20674866937889286
Politics,active,"Beta, no hurdle",beta_no_hurdle,volume,2260,311381603.0,5.322853137815653,0.3057943347219271
Politics,active,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,2260,311381603.0,6.614738465890963,0.2901997673032165
Politics,active,MHB,mhb,volume,2260,311381603.0,5.629549779415399,0.29036358290360725
Politics,active,DR normal,dr_normal,contract_balanced,2260,12.0,7.827680830332511,0.3314915707594524
Politics,active,DR-AS normal,dras_normal,contract_balanced,2260,12.0,3.4588792276329663,0.2966519428717175
Politics,active,"Beta, no hurdle",beta_no_hurdle,contract_balanced,2260,12.0,4.399135639071333,0.3078282459720654
