model,model_slug,weighting,brier_score,log_loss,predicted_update_rate,observed_update_rate
Separate hazard,unconstrained,equal,0.1422223772938835,0.5089831740139196,0.13654679043768714,0.1729564492437175
Post-hoc coherent hazard,posthoc,equal,0.1421225331254017,0.5052429422034307,0.1374419471152483,0.1729564492437175
MHB coherent hazard,mhb,equal,0.1473369976919679,0.5082647294231024,0.15141912559247864,0.1729564492437175
Separate hazard,unconstrained,volume,0.22825786966594616,0.6691069554890554,0.5021688630907,0.4445407609370659
Post-hoc coherent hazard,posthoc,volume,0.22891500156657563,0.7125673163942282,0.5035162224758383,0.4445407609370659
MHB coherent hazard,mhb,volume,0.2307284303803656,0.7188362791480981,0.49783585306811845,0.4445407609370659
Separate hazard,unconstrained,contract_balanced,0.23112854465722013,0.7110092262818816,0.4614644884666287,0.43407795436549573
Post-hoc coherent hazard,posthoc,contract_balanced,0.23249073882442037,0.773466899206742,0.4639663768789482,0.43407795436549573
MHB coherent hazard,mhb,contract_balanced,0.2328904549697436,0.7761953672358125,0.46217282256227293,0.43407795436549573
