model,model_slug,weighting,negative_log_score,interval_score,coverage,width
DR normal,dr_normal,equal,4.717163170880805,0.10114015835590813,0.9723501549954753,0.04227222344331077
DR-AS normal,dras_normal,equal,4.46396725394108,0.09911651461579203,0.9752787030440726,0.044863517978830154
"Beta, no hurdle",beta_no_hurdle,equal,4.621692133798673,0.09946854313077375,0.974709744498142,0.04437649887899682
"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,8.080933390210175,0.10283013858271699,0.930522556173826,0.03250352980440576
MHB,mhb,equal,3.3115296097053144,0.10286098646174499,0.9329091014113252,0.03339298763913096
DR normal,dr_normal,volume,9.707686709350355,0.2438505324812064,0.8753592005263244,0.09717659408422041
DR-AS normal,dras_normal,volume,3.1248800680096966,0.1901131546941259,0.9801601284974147,0.14869010681612516
"Beta, no hurdle",beta_no_hurdle,volume,6.266545275574851,0.21298387256603218,0.9485634080894954,0.12926105547177752
"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,6.060812597315756,0.21514472631782966,0.9488309279567557,0.13931952720625457
MHB,mhb,volume,5.524617023285031,0.21548587074740835,0.9487662606773836,0.1397041451858342
DR normal,dr_normal,contract_balanced,10.563753290511661,0.3078496047852448,0.926719672647928,0.12287669548638136
DR-AS normal,dras_normal,contract_balanced,3.8827116314853036,0.233992350121215,0.9804024907024285,0.18168544739224218
"Beta, no hurdle",beta_no_hurdle,contract_balanced,7.2457561543359486,0.24269750734870973,0.9729627095827312,0.17112813702637034
"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,9.084558756329647,0.25074265498006554,0.9629616783243861,0.17758779951730683
MHB,mhb,contract_balanced,6.393727272650983,0.25110687195068165,0.9632575601692438,0.1782606067958494
