model,model_slug,mean,variance,grid_cvm
DR normal,dr_normal,0.5005333243795186,0.032195794131438756,0.020192531375630762
DR-AS normal,dras_normal,0.5004810461830705,0.030762360033158367,0.02129202441529231
MHB,mhb,0.5010956293660893,0.087458119086374,7.124936166789359e-05
