month,model,model_slug,weighting,n,weight_sum,k_original,k_mhb,negative_log_score,interval_score,coverage,width
2022-03,DR normal,dr_normal,equal,1998,1998.0,0.10898054529272462,0.062060004629876785,13.862371472981629,0.23720152395776567,0.932932932932933,0.025981741476770695
2022-03,DR normal,dr_normal,volume,1998,268436.0,0.10898054529272462,0.062060004629876785,6.7286189206497555,0.10275441704331852,0.93914005573023,0.04116190595599514
2022-03,DR normal,dr_normal,contract_balanced,1998,56.0,0.10898054529272462,0.062060004629876785,30.8261061322552,0.9366820473302424,0.7824881724879634,0.02730030157686547
2022-03,DR-AS normal,dras_normal,equal,1998,1998.0,0.10898054529272462,0.062060004629876785,12.956403099835722,0.23241848742568222,0.9504504504504505,0.03559406915368247
2022-03,DR-AS normal,dras_normal,volume,1998,268436.0,0.10898054529272462,0.062060004629876785,2.857926826582599,0.13059759090074935,0.9877400944731706,0.11511280789377724
2022-03,DR-AS normal,dras_normal,contract_balanced,1998,56.0,0.10898054529272462,0.062060004629876785,23.494584967537882,0.8608133900037219,0.8653653910580315,0.07389202445730635
2022-03,"Beta, no hurdle",beta_no_hurdle,equal,1998,1998.0,0.10898054529272462,0.062060004629876785,13.66110934138546,0.23154692930309984,0.9469469469469469,0.032610991072053785
2022-03,"Beta, no hurdle",beta_no_hurdle,volume,1998,268436.0,0.10898054529272462,0.062060004629876785,2.756684510738384,0.11510777445598724,0.9780096559328852,0.09452097715261862
2022-03,"Beta, no hurdle",beta_no_hurdle,contract_balanced,1998,56.0,0.10898054529272462,0.062060004629876785,30.38287092949416,0.8653178331573134,0.837827326348097,0.06067024713349192
2022-03,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,1998,1998.0,0.10898054529272462,0.062060004629876785,8.94986211704367,0.2305080308195157,0.9554554554554554,0.03856304169289651
2022-03,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,1998,268436.0,0.10898054529272462,0.062060004629876785,2.126381998626564,0.12165832562886171,0.9877400944731706,0.10544904308215394
2022-03,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,1998,56.0,0.10898054529272462,0.062060004629876785,12.42948600090934,0.8406645932077462,0.8714530533956938,0.07175762697787845
2022-03,MHB,mhb,equal,1998,1998.0,0.10898054529272462,0.062060004629876785,9.253820113705839,0.2303849302986331,0.9554554554554554,0.03849121065203323
