model_a,model_b,regime,metric,weighting,difference_b_minus_a,ci_low,ci_high,clusters,draws
DR-AS normal,DR normal,active,nll,equal,1.5290730868301772,1.3547094133311257,1.71922667250512,1350,999
DR-AS normal,DR normal,active,is,equal,0.016935283172762945,0.015086061067886875,0.01906835835655493,1350,999
DR-AS normal,DR normal,active,nll,volume,15.799094725083215,1.7898140482979703,32.368203924943536,1258,999
DR-AS normal,DR normal,active,is,volume,0.17074027615736448,0.02419219507132036,0.26354747773654547,1258,999
DR-AS normal,DR normal,active,nll,contract_balanced,13.096220351234784,10.399915310648325,16.26869930694438,1350,999
DR-AS normal,DR normal,active,is,contract_balanced,0.16844316325236497,0.12343897581040154,0.21969156053984545,1350,999
