model_a,model_b,metric,weighting,difference_b_minus_a,ci_low,ci_high,clusters,draws
MHB,DR normal,nll,equal,1.4056335611754902,1.2966301282508785,1.5289676840134603,1405,999
MHB,DR-AS normal,nll,equal,1.1524376442357658,1.0560560809009074,1.2556401943698794,1405,999
MHB,"Beta, no hurdle",nll,equal,1.3101625240933576,1.2126613674482267,1.4121022203629845,1405,999
MHB,"Hurdle beta, post-hoc coherence",nll,equal,4.7694037805048595,4.2982798580047845,5.280297313926422,1405,999
MHB,DR normal,is,equal,-0.0017208281058368777,-0.0026148447986877286,-0.0008099995329266454,1405,999
MHB,DR-AS normal,is,equal,-0.0037444718459529558,-0.004613658429881346,-0.002894698606073221,1405,999
MHB,"Beta, no hurdle",is,equal,-0.003392443330971252,-0.0043271119916579335,-0.0025082159857892066,1405,999
MHB,"Hurdle beta, post-hoc coherence",is,equal,-3.084787902800383e-05,-0.00010303285033782393,4.638765736853213e-05,1405,999
MHB,DR normal,nll,volume,4.183069686065324,-5.638553423134773,12.277726607396767,1397,999
MHB,DR-AS normal,nll,volume,-2.399736955275334,-6.308997104337723,-0.9379943182549287,1397,999
MHB,"Beta, no hurdle",nll,volume,0.741928252289819,0.6209906602235539,1.0756783661443141,1397,999
MHB,"Hurdle beta, post-hoc coherence",nll,volume,0.5361955740307249,0.14530404712637748,1.5339707884891387,1397,999
MHB,DR normal,is,volume,0.028364661733798018,-0.011964247005398299,0.0594906838227787,1397,999
MHB,DR-AS normal,is,volume,-0.025372716053282465,-0.03802018160037522,-0.010428291272677873,1397,999
MHB,"Beta, no hurdle",is,volume,-0.002501998181376185,-0.013933634451800368,0.003873591323334707,1397,999
MHB,"Hurdle beta, post-hoc coherence",is,volume,-0.00034114442957871444,-0.0010253458072363658,1.7581196577435285e-05,1397,999
MHB,DR normal,nll,contract_balanced,4.170026017860678,1.8370526878337894,6.699489061579984,1405,999
MHB,DR-AS normal,nll,contract_balanced,-2.511015641165679,-3.7499522635388556,-1.367487268653383,1405,999
MHB,"Beta, no hurdle",nll,contract_balanced,0.8520288816849663,0.7285423073229571,0.9992463442899207,1405,999
MHB,"Hurdle beta, post-hoc coherence",nll,contract_balanced,2.6908314836786644,1.6678842584990607,4.0907222649340405,1405,999
MHB,DR normal,is,contract_balanced,0.05674273283456311,0.03357977560875397,0.0854344919039152,1405,999
MHB,DR-AS normal,is,contract_balanced,-0.017114521829466628,-0.027213845493768252,-0.009663464199738583,1405,999
MHB,"Beta, no hurdle",is,contract_balanced,-0.008409364601971864,-0.009897910675230145,-0.006878592420010724,1405,999
MHB,"Hurdle beta, post-hoc coherence",is,contract_balanced,-0.00036421697061606137,-0.0006959477867793354,-5.570107164171806e-05,1405,999
