category,regime,model,model_slug,weighting,n,weight_sum,negative_log_score,interval_score
All,all,DR normal,dr_normal,equal,1038740,1038740.0,4.717163170880805,0.10114015835590813
All,all,DR-AS normal,dras_normal,equal,1038740,1038740.0,4.46396725394108,0.09911651461579203
All,all,"Beta, no hurdle",beta_no_hurdle,equal,1038740,1038740.0,4.621692133798673,0.09946854313077375
All,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,1038740,1038740.0,8.080933390210175,0.10283013858271699
All,all,MHB,mhb,equal,1038740,1038740.0,3.3115296097053144,0.10286098646174499
All,all,DR normal,dr_normal,volume,1038740,1050979887.51,9.707686709350355,0.2438505324812064
All,all,DR-AS normal,dras_normal,volume,1038740,1050979887.51,3.1248800680096966,0.1901131546941259
All,all,"Beta, no hurdle",beta_no_hurdle,volume,1038740,1050979887.51,6.266545275574851,0.21298387256603218
All,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,1038740,1050979887.51,6.060812597315756,0.21514472631782966
All,all,MHB,mhb,volume,1038740,1050979887.51,5.524617023285031,0.21548587074740835
All,all,DR normal,dr_normal,contract_balanced,1038740,1405.0,10.563753290511661,0.3078496047852448
All,all,DR-AS normal,dras_normal,contract_balanced,1038740,1405.0,3.8827116314853036,0.233992350121215
All,all,"Beta, no hurdle",beta_no_hurdle,contract_balanced,1038740,1405.0,7.2457561543359486,0.24269750734870973
All,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,1038740,1405.0,9.084558756329647,0.25074265498006554
All,all,MHB,mhb,contract_balanced,1038740,1405.0,6.393727272650983,0.25110687195068165
Economics,all,DR normal,dr_normal,equal,780050,780050.0,5.934302529996845,0.12453474289494136
Economics,all,DR-AS normal,dras_normal,equal,780050,780050.0,5.592910417715002,0.12158711628476163
Economics,all,"Beta, no hurdle",beta_no_hurdle,equal,780050,780050.0,5.736084503300575,0.12215539239616786
Economics,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,780050,780050.0,10.075984110838721,0.1274293536425246
Economics,all,MHB,mhb,equal,780050,780050.0,4.179806978043217,0.12748845693276187
Economics,all,DR normal,dr_normal,volume,780050,109736026.50999999,5.9739747967884105,0.21337138055428223
Economics,all,DR-AS normal,dras_normal,volume,780050,109736026.50999999,3.882518280124297,0.19235441330380515
Economics,all,"Beta, no hurdle",beta_no_hurdle,volume,780050,109736026.50999999,4.287262109676948,0.18969973502396595
Economics,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,780050,109736026.50999999,5.518266725850067,0.19818176825405004
Economics,all,MHB,mhb,volume,780050,109736026.50999999,3.5225391113831668,0.1990978421848523
Economics,all,DR normal,dr_normal,contract_balanced,780050,1112.0,12.62459931983202,0.32002893190957277
Economics,all,DR-AS normal,dras_normal,contract_balanced,780050,1112.0,4.18348065698766,0.2291194462291292
Economics,all,"Beta, no hurdle",beta_no_hurdle,contract_balanced,780050,1112.0,4.603894232665371,0.23707477350117095
Economics,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,780050,1112.0,7.0276784783358845,0.24467520767213538
Economics,all,MHB,mhb,contract_balanced,780050,1112.0,3.774351661296327,0.24509361260112408
Politics,all,DR normal,dr_normal,equal,6886,6886.0,2.9204447908168523,0.08810410067657189
