model,model_slug,weighting,brier_score,log_loss,predicted_update_rate,observed_update_rate
Separate hazard,unconstrained,equal,0.1542350409303757,0.56838673317683,0.15772943304879747,0.17914107476365596
Post-hoc coherent hazard,posthoc,equal,0.15414023082495443,0.5649705131203856,0.1585909402340793,0.17914107476365596
MHB coherent hazard,mhb,equal,0.15895000601423714,0.5703772697333483,0.17177863965556625,0.17914107476365596
Separate hazard,unconstrained,volume,0.22837555490656436,0.6699050618209336,0.5026967681240779,0.4451045792877259
Post-hoc coherent hazard,posthoc,volume,0.22902693500813295,0.713264524558389,0.5040240699561,0.4451045792877259
MHB coherent hazard,mhb,volume,0.23077110311553156,0.7194697008622125,0.4984125231009029,0.4451045792877259
Separate hazard,unconstrained,contract_balanced,0.22972280584512575,0.7303061601779421,0.4738041373346266,0.4401584643338172
Post-hoc coherent hazard,posthoc,contract_balanced,0.23106899418111757,0.7922854929117433,0.47621620500431844,0.4401584643338172
MHB coherent hazard,mhb,contract_balanced,0.23152903447577675,0.7967669198534131,0.4747423973251682,0.4401584643338172
