model,model_slug,weighting,level,coverage,interval_score,width
DR normal,dr_normal,equal,0.5,0.9337305479959235,0.018817393418186,0.015164790518176005
DR normal,dr_normal,volume,0.5,0.6840648224870948,0.06426701866399463,0.03617815184263162
DR normal,dr_normal,contract_balanced,0.5,0.8378571655795102,0.06377068385069563,0.04818613371993763
DR-AS normal,dras_normal,equal,0.5,0.9392841738838357,0.019281733510413134,0.01584327611973772
DR-AS normal,dras_normal,volume,0.5,0.8852644816679113,0.0741167493085408,0.05592375920758155
DR-AS normal,dras_normal,contract_balanced,0.5,0.9199469957358044,0.0708682615397954,0.058678136076645904
"Beta, no hurdle",beta_no_hurdle,equal,0.5,0.9294861273860553,0.018914101086345014,0.015208861542161677
"Beta, no hurdle",beta_no_hurdle,volume,0.5,0.7550766812790761,0.07029878222437973,0.04651435236430353
"Beta, no hurdle",beta_no_hurdle,contract_balanced,0.5,0.8647803407539801,0.07036794487244892,0.05462697093763035
"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,0.5,0.8429398974265019,0.009195119841601061,0.001372783601683524
"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,0.5,0.6768293613387051,0.059978360198468465,0.02649227364652
"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,0.5,0.7351378904297597,0.05367520154490713,0.030458371679599
MHB,mhb,equal,0.5,0.8428113942845364,0.009183270520932098,0.0013547688024489026
MHB,mhb,volume,0.5,0.6728759809182724,0.06014453134488102,0.02577683300069037
MHB,mhb,contract_balanced,0.5,0.7317136634016815,0.05365308902327322,0.030208891690398622
DR normal,dr_normal,equal,0.8,0.9695129476457842,0.03483125891707544,0.0284804423323091
DR normal,dr_normal,volume,0.8,0.8055809109247933,0.11335668526724463,0.06640454957038917
DR normal,dr_normal,contract_balanced,0.8,0.9158724582470338,0.11758295349815578,0.08747457021992965
DR-AS normal,dras_normal,equal,0.8,0.9727560615949912,0.03561786026527545,0.029736327632290015
DR-AS normal,dras_normal,volume,0.8,0.9347306528974445,0.12299073468216584,0.10200360978499613
DR-AS normal,dras_normal,contract_balanced,0.8,0.9621334587583231,0.12861151324147052,0.10641376732676751
"Beta, no hurdle",beta_no_hurdle,equal,0.8,0.9708157913821467,0.03504917998079769,0.02897351008166023
"Beta, no hurdle",beta_no_hurdle,volume,0.8,0.8841937249745437,0.11891128616147263,0.08567602565978462
"Beta, no hurdle",beta_no_hurdle,contract_balanced,0.8,0.9481144056603587,0.12485487314910924,0.10027248782658521
"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,0.8,0.8721749983778069,0.022374498458124996,0.006630588464645153
"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,0.8,0.8779258463836753,0.10990529479714055,0.07309097589680086
"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,0.8,0.8875514328988929,0.11430131552628024,0.08191471748049016
MHB,mhb,equal,0.8,0.8730019987963963,0.022511243299672072,0.006861381244635347
MHB,mhb,volume,0.8,0.8761667757204835,0.10889457260881055,0.07180007723988868
MHB,mhb,contract_balanced,0.8,0.8866655646036273,0.11412497778375222,0.08170865373588013
DR normal,dr_normal,equal,0.95,0.9835439639784064,0.0625971161549275,0.042881636040032874
DR normal,dr_normal,volume,0.95,0.8764229343065565,0.23972354291454298,0.09677329662315673
DR normal,dr_normal,contract_balanced,0.95,0.9464404284243436,0.2257781756548736,0.12548110542901617
DR-AS normal,dras_normal,equal,0.95,0.985559300383092,0.06286211375095681,0.044742997070144425
DR-AS normal,dras_normal,volume,0.95,0.9801718549553785,0.19012398973340713,0.14819459697342444
DR-AS normal,dras_normal,contract_balanced,0.95,0.9761492484945414,0.2228947417211739,0.15282381498872633
"Beta, no hurdle",beta_no_hurdle,equal,0.95,0.9852323171406652,0.06302411642812136,0.04457435238190968
"Beta, no hurdle",beta_no_hurdle,volume,0.95,0.9484289726849975,0.21418924257689986,0.12731705180057043
"Beta, no hurdle",beta_no_hurdle,contract_balanced,0.95,0.9706840138667038,0.22442095854111818,0.1484608323305314
"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,0.95,0.928978476359875,0.06642984520233249,0.027663009191097467
"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,0.95,0.9482127359316231,0.2168129493255426,0.13711378076654465
"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,0.95,0.9571797050590404,0.2322621653272935,0.153787889764459
MHB,mhb,equal,0.95,0.9319073301500179,0.06653414958922964,0.02877634822913349
MHB,mhb,volume,0.95,0.9480806706383199,0.2171989531681249,0.1374534245063452
MHB,mhb,contract_balanced,0.95,0.9570691090712842,0.2329525910223464,0.15461094918026508
