model_a,model_b,regime,metric,weighting,difference_b_minus_a,ci_low,ci_high,clusters,draws
DR-AS normal,DR normal,active,nll,equal,0.6326141800712258,0.5122621213444771,0.7709104297503843,1324,999
DR-AS normal,DR normal,active,is,equal,0.004102425749324995,0.0031801119207760745,0.005158522453688033,1324,999
DR-AS normal,DR normal,active,nll,volume,15.674963617039221,0.9648022254812895,31.670076842505253,1220,999
DR-AS normal,DR normal,active,is,volume,0.16510279475399245,0.012419108690629031,0.25353729410181025,1220,999
DR-AS normal,DR normal,active,nll,contract_balanced,5.941902269686978,3.9120122542257154,8.17298839616196,1324,999
DR-AS normal,DR normal,active,is,contract_balanced,0.02947668512634708,0.019744294285119392,0.03940512367662811,1324,999
