model,model_slug,weighting,brier_score,log_loss,predicted_update_rate,observed_update_rate
Separate hazard,unconstrained,equal,0.131128687228156,0.49379124006076275,0.08431372664325619,0.16666094127915335
Post-hoc coherent hazard,posthoc,equal,0.13099771233472493,0.4884136894950559,0.08547760557862122,0.16666094127915335
MHB coherent hazard,mhb,equal,0.13122977439247985,0.4781350199493418,0.09194644945570474,0.16666094127915335
Separate hazard,unconstrained,volume,0.22806468195889737,0.6676923807313111,0.500854372388119,0.44176791067972193
Post-hoc coherent hazard,posthoc,volume,0.22872434128171187,0.7115196229439604,0.5022684972728209,0.44176791067972193
MHB coherent hazard,mhb,volume,0.23100962558652574,0.7192313284680161,0.4966815011400954,0.44176791067972193
Separate hazard,unconstrained,contract_balanced,0.2347312033171765,0.715346186024926,0.42392517721099365,0.4215357928918643
Post-hoc coherent hazard,posthoc,contract_balanced,0.23605256100259397,0.7796154282940367,0.4268399650827986,0.4215357928918643
MHB coherent hazard,mhb,contract_balanced,0.23645196906083774,0.7815224227005393,0.42465947893232286,0.4215357928918643
