model,model_slug,mean,variance,grid_cvm
DR normal,dr_normal,0.5005925925275619,0.03179703817665838,0.019446190911762386
DR-AS normal,dras_normal,0.5005306543774234,0.03043903119408777,0.020565275685355516
MHB,mhb,0.5016681838828235,0.09377478703571943,0.0003678698809447692
