model,model_slug,weighting,negative_log_score,interval_score,coverage,width
DR normal,dr_normal,equal,2.440758963450567,0.0625971161549275,0.9835439639784064,0.042881636040032874
DR-AS normal,dras_normal,equal,2.3589904929442604,0.06286211375095681,0.985559300383092,0.044742997070144425
"Beta, no hurdle",beta_no_hurdle,equal,2.4101464088660864,0.06302411642812136,0.9852323171406652,0.04457435238190968
"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,8.266786237631376,0.06642984520233249,0.928978476359875,0.027663009191097467
MHB,mhb,equal,1.5138397385163243,0.06653414958922964,0.9319073301500179,0.02877634822913349
DR normal,dr_normal,volume,9.583483763135504,0.23972354291454298,0.8764229343065565,0.09677329662315673
DR-AS normal,dras_normal,volume,3.114336882732908,0.19012398973340713,0.9801718549553785,0.14819459697342444
"Beta, no hurdle",beta_no_hurdle,volume,6.315901188391431,0.21418924257689986,0.9484289726849975,0.12731705180057043
"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,6.160169504312196,0.2168129493255426,0.9482127359316231,0.13711378076654465
MHB,mhb,volume,5.561518687227101,0.2171989531681249,0.9480806706383199,0.1374534245063452
DR normal,dr_normal,contract_balanced,7.397059637190386,0.2257781756548736,0.9464404284243436,0.12548110542901617
DR-AS normal,dras_normal,contract_balanced,4.773118693122947,0.2228947417211739,0.9761492484945414,0.15282381498872633
"Beta, no hurdle",beta_no_hurdle,contract_balanced,8.46483543143362,0.22442095854111818,0.9706840138667038,0.1484608323305314
"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,10.500073236546907,0.2322621653272935,0.9571797050590404,0.153787889764459
MHB,mhb,contract_balanced,7.508354395658318,0.2329525910223464,0.9570691090712842,0.15461094918026508
