category,regime,model,model_slug,weighting,n,weight_sum,negative_log_score,interval_score
All,all,DR normal,dr_normal,equal,785973,785973.0,2.440758963450567,0.0625971161549275
All,all,DR-AS normal,dras_normal,equal,785973,785973.0,2.3589904929442604,0.06286211375095681
All,all,"Beta, no hurdle",beta_no_hurdle,equal,785973,785973.0,2.4101464088660864,0.06302411642812136
All,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,785973,785973.0,8.266786237631376,0.06642984520233249
All,all,MHB,mhb,equal,785973,785973.0,1.5138397385163243,0.06653414958922964
All,all,DR normal,dr_normal,volume,785973,1040918144.06,9.583483763135504,0.23972354291454298
All,all,DR-AS normal,dras_normal,volume,785973,1040918144.06,3.114336882732908,0.19012398973340713
All,all,"Beta, no hurdle",beta_no_hurdle,volume,785973,1040918144.06,6.315901188391431,0.21418924257689986
All,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,785973,1040918144.06,6.160169504312196,0.2168129493255426
All,all,MHB,mhb,volume,785973,1040918144.06,5.561518687227101,0.2171989531681249
All,all,DR normal,dr_normal,contract_balanced,785973,1395.0000000000002,7.397059637190386,0.2257781756548736
All,all,DR-AS normal,dras_normal,contract_balanced,785973,1395.0000000000002,4.773118693122947,0.2228947417211739
All,all,"Beta, no hurdle",beta_no_hurdle,contract_balanced,785973,1395.0000000000002,8.46483543143362,0.22442095854111818
All,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,785973,1395.0000000000002,10.500073236546907,0.2322621653272935
All,all,MHB,mhb,contract_balanced,785973,1395.0000000000002,7.508354395658318,0.2329525910223464
Economics,all,DR normal,dr_normal,equal,529107,529107.0,3.201786874603549,0.08125363156857204
Economics,all,DR-AS normal,dras_normal,equal,529107,529107.0,3.072146654231601,0.0811344535152801
Economics,all,"Beta, no hurdle",beta_no_hurdle,equal,529107,529107.0,3.0636495650037947,0.08154997972917354
Economics,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,529107,529107.0,11.353787788966354,0.08791203941620837
Economics,all,MHB,mhb,equal,529107,529107.0,2.0061272362413027,0.08807592848924328
Economics,all,DR normal,dr_normal,volume,529107,100658567.06,4.512652292778782,0.1743027572174445
Economics,all,DR-AS normal,dras_normal,volume,529107,100658567.06,3.7737499860942134,0.1713633129966569
Economics,all,"Beta, no hurdle",beta_no_hurdle,volume,529107,100658567.06,4.234862679054167,0.17121447905084025
Economics,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,529107,100658567.06,5.239951591823703,0.1798556036836287
Economics,all,MHB,mhb,volume,529107,100658567.06,3.420520386435912,0.18106512012555617
Economics,all,DR normal,dr_normal,contract_balanced,529107,1102.0,8.673529492856796,0.22140945670422646
Economics,all,DR-AS normal,dras_normal,contract_balanced,529107,1102.0,5.318775490216852,0.21665503303944364
Economics,all,"Beta, no hurdle",beta_no_hurdle,contract_balanced,529107,1102.0,6.062304877622079,0.21598988755152793
Economics,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,529107,1102.0,8.592315939916155,0.2231753738943966
Economics,all,MHB,mhb,contract_balanced,529107,1102.0,5.097798328514115,0.22395623932352815
Politics,all,DR normal,dr_normal,equal,6566,6566.0,2.5942794415066883,0.0732016972024953
Politics,all,DR-AS normal,dras_normal,equal,6566,6566.0,2.3729711010653887,0.08832288738006817
Politics,all,"Beta, no hurdle",beta_no_hurdle,equal,6566,6566.0,2.672858674224903,0.0829436522082991
Politics,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,6566,6566.0,3.1048679244285604,0.08979926343967048
Politics,all,MHB,mhb,equal,6566,6566.0,2.15363254583618,0.08968189579923108
Politics,all,DR normal,dr_normal,volume,6566,594244624.0,13.930534451603233,0.2507472396062583
Politics,all,DR-AS normal,dras_normal,volume,6566,594244624.0,2.9732189332399623,0.16228864230497905
Politics,all,"Beta, no hurdle",beta_no_hurdle,volume,6566,594244624.0,3.99902322022339,0.2036361596883689
Politics,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,6566,594244624.0,4.0133010530134445,0.19886595300941912
Politics,all,MHB,mhb,volume,6566,594244624.0,3.501348449301515,0.1988973617292129
Politics,all,DR normal,dr_normal,contract_balanced,6566,13.0,4.613549956321007,0.16741160832735247
Politics,all,DR-AS normal,dras_normal,contract_balanced,6566,13.0,3.055230699255828,0.18059152160272698
Politics,all,"Beta, no hurdle",beta_no_hurdle,contract_balanced,6566,13.0,4.640455048621963,0.18483815026020073
Politics,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,6566,13.0,4.818746123480837,0.187280473015855
Politics,all,MHB,mhb,contract_balanced,6566,13.0,4.430942832730684,0.18736241699057327
Sports,all,DR normal,dr_normal,equal,250300,250300.0,0.828001430708509,0.02288108507172512
Sports,all,DR-AS normal,dras_normal,equal,250300,250300.0,0.851089119779322,0.023568472858705298
Sports,all,"Beta, no hurdle",beta_no_hurdle,equal,250300,250300.0,1.0218201477038789,0.02333991496762409
Sports,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,250300,250300.0,1.8766105517436118,0.02040578234149513
Sports,all,MHB,mhb,equal,250300,250300.0,0.45641408677188877,0.02038994619304753
Sports,all,DR normal,dr_normal,volume,250300,346014953.0,3.5930233674294656,0.2398229318231802
Sports,all,DR-AS normal,dras_normal,volume,250300,346014953.0,3.164863614596862,0.2433859318666211
Sports,all,"Beta, no hurdle",beta_no_hurdle,volume,250300,346014953.0,10.900288705870965,0.24481477132221807
Sports,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,250300,346014953.0,10.114891230091269,0.25838623801650956
Sports,all,MHB,mhb,volume,250300,346014953.0,9.72248022072365,0.25914165551043694
Sports,all,DR normal,dr_normal,contract_balanced,250300,280.0,2.5024733690008145,0.24568208157941268
Sports,all,DR-AS normal,dras_normal,contract_balanced,250300,280.0,2.705328527132914,0.24941653039548345
Sports,all,"Beta, no hurdle",beta_no_hurdle,contract_balanced,250300,280.0,18.098069771708168,0.25944101832033445
Sports,all,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,250300,280.0,18.27223678425031,0.2701136158955119
Sports,all,MHB,mhb,contract_balanced,250300,280.0,17.13849416819751,0.2704763475741707
All,active,DR normal,dr_normal,equal,130991,130991.0,8.753542001693457,0.2018808983271726
All,active,DR-AS normal,dras_normal,equal,130991,130991.0,8.120927821622233,0.19777847257784756
All,active,"Beta, no hurdle",beta_no_hurdle,equal,130991,130991.0,7.915650299709355,0.19842253492048526
All,active,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,130991,130991.0,48.713740628039595,0.3032259703410087
All,active,MHB,mhb,equal,130991,130991.0,8.164427443943353,0.2989336063450412
All,active,DR normal,dr_normal,volume,130991,459844233.69,19.572822245594008,0.4399083277259739
All,active,DR-AS normal,dras_normal,volume,130991,459844233.69,3.897858628554787,0.27480553297198146
All,active,"Beta, no hurdle",beta_no_hurdle,volume,130991,459844233.69,8.101522905103842,0.3477763977985995
All,active,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,130991,459844233.69,9.780091051641092,0.3439030052235601
All,active,MHB,mhb,volume,130991,459844233.69,8.427196265365133,0.3447871818669725
All,active,DR normal,dr_normal,contract_balanced,130991,1324.0,18.38469524615907,0.42153769099943755
All,active,DR-AS normal,dras_normal,contract_balanced,130991,1324.0,12.442792976472091,0.3920610058730905
All,active,"Beta, no hurdle",beta_no_hurdle,contract_balanced,130991,1324.0,15.807871098003087,0.39964417292285753
All,active,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,130991,1324.0,23.61733264274664,0.42968866539071665
All,active,MHB,mhb,contract_balanced,130991,1324.0,11.47661616267028,0.4290395785210557
Economics,active,DR normal,dr_normal,equal,120225,120225.0,9.034151250342301,0.20178439785733715
Economics,active,DR-AS normal,dras_normal,equal,120225,120225.0,8.393346592511236,0.19729414147926538
Economics,active,"Beta, no hurdle",beta_no_hurdle,equal,120225,120225.0,8.038113075504151,0.19796476171487418
Economics,active,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,120225,120225.0,49.346357598496304,0.3025049800378472
Economics,active,MHB,mhb,equal,120225,120225.0,8.175960217814156,0.2978365865917464
Economics,active,DR normal,dr_normal,volume,120225,54093819.69,6.580623423420482,0.24837274603011844
Economics,active,DR-AS normal,dras_normal,volume,120225,54093819.69,4.921241721019184,0.22693234091833847
Economics,active,"Beta, no hurdle",beta_no_hurdle,volume,120225,54093819.69,5.644253244935739,0.23002918300708866
Economics,active,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,120225,54093819.69,9.097950166062207,0.24679475755459732
Economics,active,MHB,mhb,volume,120225,54093819.69,5.724035430027347,0.24862301766638864
Economics,active,DR normal,dr_normal,contract_balanced,120225,1101.0,18.19297203339831,0.3521876033735953
Economics,active,DR-AS normal,dras_normal,contract_balanced,120225,1101.0,11.168197602898573,0.3183503000425545
Economics,active,"Beta, no hurdle",beta_no_hurdle,contract_balanced,120225,1101.0,11.34633833721561,0.3235888199095004
Economics,active,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,120225,1101.0,22.24235039234443,0.3517293974828188
Economics,active,MHB,mhb,contract_balanced,120225,1101.0,8.753916013927169,0.3507802193224897
Politics,active,DR normal,dr_normal,equal,2049,2049.0,5.255155458239941,0.14734176725667553
Politics,active,DR-AS normal,dras_normal,equal,2049,2049.0,3.529498709553062,0.15114933534751007
Politics,active,"Beta, no hurdle",beta_no_hurdle,equal,2049,2049.0,4.18640535238173,0.1512708070198008
Politics,active,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,2049,2049.0,8.491481717997289,0.18995759945237758
Politics,active,MHB,mhb,equal,2049,2049.0,5.432560538686914,0.1897431778532658
Politics,active,DR normal,dr_normal,volume,2049,311233792.0,25.417928440191673,0.44575889234786786
Politics,active,DR-AS normal,dras_normal,volume,2049,311233792.0,3.3233576521912163,0.21001914601794713
Politics,active,"Beta, no hurdle",beta_no_hurdle,volume,2049,311233792.0,5.448561866927657,0.3141936450731325
Politics,active,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,2049,311233792.0,6.697429692740993,0.3000503128903554
Politics,active,MHB,mhb,volume,2049,311233792.0,5.712628048815166,0.30023397170747657
Politics,active,DR normal,dr_normal,contract_balanced,2049,12.0,7.680312258675065,0.23087476906644547
Politics,active,DR-AS normal,dras_normal,contract_balanced,2049,12.0,3.332761008183867,0.21044288455728252
Politics,active,"Beta, no hurdle",beta_no_hurdle,contract_balanced,2049,12.0,4.2825821436305045,0.2299430980398904
Politics,active,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,2049,12.0,5.634608496202508,0.23129206237070923
Politics,active,MHB,mhb,contract_balanced,2049,12.0,5.060329893969243,0.23141658808572382
Sports,active,DR normal,dr_normal,equal,8717,8717.0,5.705698375300101,0.21603168971749187
Sports,active,DR-AS normal,dras_normal,equal,8717,8717.0,5.442975718891827,0.21541892325032722
Sports,active,"Beta, no hurdle",beta_no_hurdle,equal,8717,8717.0,7.103230393450864,0.21581953780141805
Sports,active,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,8717,8717.0,49.44323853253874,0.33979450896076224
Sports,active,MHB,mhb,equal,8717,8717.0,8.647514234152519,0.33972979629795075
Sports,active,DR normal,dr_normal,volume,8717,94516622.0,7.761175981680377,0.5302627820764666
