,mean,std,min,max
seed,9209.5,5.916079783099616,9200.0,9219.0
true_k,0.6999999999999998,1.1390647892519134e-16,0.7,0.7
fitted_k,0.6923172416523605,0.04798936964715683,0.6266553073275749,0.7873600520342491
relative_k_error,-0.010975369068056344,0.06855624235308118,-0.10477813238917864,0.12480007433464162
release_mae,0.0004900626468403027,0.0003047979259327015,5.129344998079473e-06,0.0010642581158319155
hazard_mae,0.005486478175643757,0.002036066077335425,0.0016987465252386355,0.009804370270672876
hazard_bias,0.0002900103329852975,0.0028686981685406565,-0.00504037496845368,0.006228393635785881
update_rate_error,-0.000733512996542443,0.004986907920932605,-0.011639513708533944,0.009500861165383845
coverage_95,0.9500866666666669,0.0018810349272835969,0.9475333333333333,0.9533333333333334
mean_interval_score,0.47678195498100295,0.0067210526533845365,0.4645549491705455,0.492309675386012
mean_negative_log_score,2.3277143133853198,0.0173391643306451,2.3000969873027275,2.360434827479063
minimum_coherence_margin,0.008510578678349739,0.005599235201378345,0.000627047351592358,0.020281368315603912
