seed,true_k,fitted_k,relative_k_error,release_mae,hazard_mae,hazard_bias,update_rate_error,coverage_95,mean_interval_score,mean_negative_log_score,minimum_coherence_margin
9200,0.7,0.6830241837283252,-0.02425116610239253,0.00020932806919116828,0.005997220095574244,0.0019542318337373485,-0.0009616422319772555,0.9485333333333333,0.4828580597639781,2.340703001363039,0.0014192627775931888
9201,0.7,0.6599345531124915,-0.05723635269644066,0.00045416275485645055,0.004932527184989912,0.0030311954012357694,0.005634382037192132,0.9516,0.47166255852202915,2.313014480309125,0.004828485732085386
9202,0.7,0.6511403529263381,-0.06979949581951694,0.0006004577127174073,0.007477095194090436,0.0023114411840210883,-0.0008779849199547218,0.9487333333333333,0.4645549491705455,2.3267502797434347,0.015552367586551208
9203,0.7,0.642387258051131,-0.08230391706981287,0.0007037595176849826,0.006535666536038044,-0.00504037496845368,-0.002404802031153175,0.9483333333333334,0.47123043105071993,2.310239233070489,0.000627047351592358
9204,0.7,0.7350270024113581,0.05003857487336878,0.0004393151529452957,0.009536696911337147,0.0028493318345725605,-0.0007931583030689193,0.9504,0.48146872762889154,2.342339808657314,0.010188419932804393
9205,0.7,0.6727808401361689,-0.038884514091187226,0.00032987345009420887,0.0016987465252386355,-0.0008147650409616116,0.0007054769784426984,0.9516,0.4770479638467527,2.3211285738446663,0.0025745930042665455
9206,0.7,0.6670251210514666,-0.047106969926476214,0.00039982243221626217,0.0061820169829350435,-0.004890316431796845,-0.004137005482136413,0.9476,0.4774843511064087,2.318558513856953,0.0024718917730903733
9207,0.7,0.7873600520342491,0.12480007433464162,0.0010642581158319155,0.008290097350634917,0.006228393635785881,0.009500861165383845,0.9533333333333334,0.4746373168075877,2.3117270219244976,0.006908563003535373
9208,0.7,0.6588282448062268,-0.05881679313396163,0.0005113622651208844,0.0049056142497458195,-0.0028584463807655894,-0.008894418772571577,0.9487333333333333,0.47469430964617254,2.351954644142681,0.004117898834795519
9209,0.7,0.7325033934707676,0.046433419243953854,0.00040552551263795255,0.009804370270672876,0.0006212525952771214,0.0013029472365991834,0.9508,0.49003169582142697,2.3251663617662466,0.003345605999468093
9210,0.7,0.6266553073275749,-0.10477813238917864,0.0009054195074636715,0.005675362830570256,-0.0003769472520202086,0.0009897236738618531,0.9480666666666666,0.48173374511116285,2.3272251682114224,0.008344822410843888
9211,0.7,0.6787028712273764,-0.03042446967517654,0.0002696759361510336,0.0036310628023489204,0.0007498895615827135,-0.002880624153975553,0.9475333333333333,0.47468680104498123,2.3334784194445315,0.008274163049674654
9212,0.7,0.6890474818408885,-0.015646454513016383,0.00012487796219847386,0.004317232057329357,0.001783081638949617,0.0038189379461914252,0.9516666666666667,0.4709671140234686,2.3056898640522885,0.008073058779599296
9213,0.7,0.7172145627771817,0.024592232538830996,0.0002035877531214719,0.00433077388191136,-0.0010718549387170057,-0.003946042508026326,0.9492,0.492309675386012,2.3580714244528296,0.012798988028214832
9214,0.7,0.6995638679757487,-0.0006230457489304303,5.129344998079473e-06,0.00498428041170366,0.0014067223281560384,-0.00348694545988687,0.9493333333333334,0.47563207924901574,2.3396599962075726,0.0120790942227216
9215,0.7,0.6549846282297954,-0.06430767395743506,0.0005147499008392896,0.004435149685591391,0.003592411576496634,0.003487179303059529,0.9482,0.47979467877146587,2.321143466477157,0.018656218263348644
9216,0.7,0.7864196617214043,0.12345665960200623,0.0010335003509918078,0.003343263645812919,0.0006606961415771389,0.004023926294651536,0.9528,0.4673232202777199,2.310514746099617,0.006714653614636856
9217,0.7,0.6443395514567928,-0.07951492649029597,0.0006278223875197208,0.004284090129414281,-0.002982776533100981,-0.0059839015365174,0.9528,0.47578046749925823,2.3363894493007464,0.020281368315603912
9218,0.7,0.6891328912370953,-0.015524441089863776,0.00013411569273184606,0.004373718065906085,0.0007505783349439992,0.0018723445415710915,0.9506,0.47502625344053584,2.3000969873027275,0.010188362635524362
9219,0.7,0.7702730075248295,0.10039001074975654,0.0008645091174941293,0.004994578701029846,-0.002103537860814037,-0.011639513708533944,0.9518666666666666,0.47671470145192746,2.360434827479063,0.012766708251044312
