month,model,model_slug,weighting,n,weight_sum,k_original,k_mhb,negative_log_score,interval_score,coverage,width
2022-03,DR normal,dr_normal,equal,1935,1935.0,0.10905516489962247,0.062087934669935,10.258326859274238,0.151724292829381,0.9441860465116281,0.02564684169737551
2022-03,DR normal,dr_normal,volume,1935,266605.0,0.10905516489962247,0.062087934669935,6.58677969036044,0.09661204353337456,0.9410288629245513,0.041220011813642946
2022-03,DR normal,dr_normal,contract_balanced,1935,54.0,0.10905516489962247,0.062087934669935,11.367061358729455,0.2600500336149345,0.8397388089069682,0.026341771483265997
2022-03,DR-AS normal,dras_normal,equal,1935,1935.0,0.10905516489962247,0.062087934669935,9.357136782670555,0.14722651581557544,0.9617571059431527,0.03453170883711331
2022-03,DR-AS normal,dras_normal,volume,1935,266605.0,0.10905516489962247,0.062087934669935,2.848196401485069,0.1275935393763327,0.9876558954258171,0.11200813496131887
2022-03,DR-AS normal,dras_normal,contract_balanced,1935,54.0,0.10905516489962247,0.062087934669935,4.367882196175426,0.19457658751207813,0.9227688487334682,0.06639792963196645
2022-03,"Beta, no hurdle",beta_no_hurdle,equal,1935,1935.0,0.10905516489962247,0.062087934669935,9.631951618150206,0.1466002840865383,0.9581395348837211,0.031716419422261666
2022-03,"Beta, no hurdle",beta_no_hurdle,volume,1935,266605.0,0.10905516489962247,0.062087934669935,2.7480161835940056,0.11290418484195588,0.9778586298081431,0.09218152894845613
2022-03,"Beta, no hurdle",beta_no_hurdle,contract_balanced,1935,54.0,0.10905516489962247,0.062087934669935,4.301759622951145,0.2019296968564151,0.8940915024783689,0.05449902169317428
2022-03,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,1935,1935.0,0.10905516489962247,0.062087934669935,5.815414310289635,0.14714628108275163,0.9669250645994834,0.037586616006174065
2022-03,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,1935,266605.0,0.10905516489962247,0.062087934669935,2.112808975287434,0.11909290192011052,0.9876558954258171,0.10278067112304412
2022-03,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,1935,54.0,0.10905516489962247,0.062087934669935,1.8751830778145298,0.19019551549085817,0.9290819800465995,0.06415331812705281
2022-03,MHB,mhb,equal,1935,1935.0,0.10905516489962247,0.062087934669935,6.180452012698867,0.14712511049491858,0.9669250645994834,0.03751399076283883
2022-03,MHB,mhb,volume,1935,266605.0,0.10905516489962247,0.062087934669935,2.1127157803808103,0.1191194526428307,0.9876558954258171,0.10281061962368834
2022-03,MHB,mhb,contract_balanced,1935,54.0,0.10905516489962247,0.062087934669935,1.8675890052779032,0.19007400046025233,0.9290819800465995,0.06380361377157123
2022-04,DR normal,dr_normal,equal,5122,5122.0,0.09265008246110687,0.04491797965982688,11.382091590649786,0.2137343070475102,0.9240531042561497,0.03667266425867817
2022-04,DR normal,dr_normal,volume,5122,337339.0,0.09265008246110687,0.04491797965982688,4.49634884410348,0.1308059851209283,0.917362060123496,0.04488978087416777
2022-04,DR normal,dr_normal,contract_balanced,5122,103.0,0.09265008246110687,0.04491797965982688,14.96656402126332,0.2699326944569539,0.8883548350133315,0.029909309046158378
2022-04,DR-AS normal,dras_normal,equal,5122,5122.0,0.09265008246110687,0.04491797965982688,11.403335228169606,0.21464877725581602,0.9297149550956656,0.041502205649956415
2022-04,DR-AS normal,dras_normal,volume,5122,337339.0,0.09265008246110687,0.04491797965982688,4.763022775806819,0.13466675573933634,0.9877007994924988,0.11091017475904581
2022-04,DR-AS normal,dras_normal,contract_balanced,5122,103.0,0.09265008246110687,0.04491797965982688,15.237877715662403,0.27670544157528887,0.9352505022466177,0.06469713802695257
2022-04,"Beta, no hurdle",beta_no_hurdle,equal,5122,5122.0,0.09265008246110687,0.04491797965982688,10.771511478829282,0.21336735572965165,0.9295197188598202,0.03946779193280269
2022-04,"Beta, no hurdle",beta_no_hurdle,volume,5122,337339.0,0.09265008246110687,0.04491797965982688,4.581236133326735,0.11770980217182953,0.9800378847390905,0.08713502195835947
2022-04,"Beta, no hurdle",beta_no_hurdle,contract_balanced,5122,103.0,0.09265008246110687,0.04491797965982688,14.27940919039675,0.268405009573665,0.9316201481754816,0.051994156065072794
2022-04,"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,5122,5122.0,0.09265008246110687,0.04491797965982688,6.594749825325645,0.21384588749507724,0.9424053104256149,0.049473752418833554
2022-04,"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,5122,337339.0,0.09265008246110687,0.04491797965982688,3.15091500531912,0.12518068372073102,0.9862452903459132,0.10031566689176254
2022-04,"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,5122,103.0,0.09265008246110687,0.04491797965982688,6.925729078777673,0.2698190607955836,0.9415787783573896,0.06181938936078593
2022-04,MHB,mhb,equal,5122,5122.0,0.09265008246110687,0.04491797965982688,6.462155570611818,0.21420024553320766,0.9404529480671611,0.04931163018688485
2022-04,MHB,mhb,volume,5122,337339.0,0.09265008246110687,0.04491797965982688,3.1525043846023206,0.12522787590663184,0.9862452903459132,0.10046957903130188
2022-04,MHB,mhb,contract_balanced,5122,103.0,0.09265008246110687,0.04491797965982688,6.4134853538079675,0.27051271179496944,0.9396721735824884,0.061613034585960916
2022-05,DR normal,dr_normal,equal,6994,6994.0,0.10129949886589759,0.04471081448708458,7.579937248065862,0.1438676510918897,0.945524735487561,0.04915417805600261
2022-05,DR normal,dr_normal,volume,6994,484513.0,0.10129949886589759,0.04471081448708458,11.873832975321918,0.3059569978104059,0.8901020199664406,0.0971104855713899
2022-05,DR normal,dr_normal,contract_balanced,6994,132.0,0.10129949886589759,0.04471081448708458,22.385271079472908,0.32670792156505873,0.8398455591367721,0.037995070447131116
