model_a,model_b,regime,metric,weighting,difference_b_minus_a,ci_low,ci_high,clusters,draws
DR-AS normal,DR normal,active,nll,equal,0.7353283383985664,0.6215836598388997,0.8562820249327446,1334,999
DR-AS normal,DR normal,active,is,equal,0.005441288331361961,0.004563528533954591,0.0063833066818124225,1334,999
DR-AS normal,DR normal,active,nll,volume,15.597219298917627,1.051493856824968,31.3029758383793,1240,999
DR-AS normal,DR normal,active,is,volume,0.16617540618451807,0.014161890159696149,0.2650007463677925,1240,999
DR-AS normal,DR normal,active,nll,contract_balanced,6.0392895150038965,4.378925863110232,7.855578002392813,1334,999
DR-AS normal,DR normal,active,is,contract_balanced,0.03667541229571853,0.025710472253616574,0.047394386293024365,1334,999
