model_a,model_b,metric,weighting,difference_b_minus_a,ci_low,ci_high,clusters,draws
MHB,DR normal,nll,equal,1.2322103603335126,1.1393196967086494,1.3341497089595549,1403,999
MHB,DR-AS normal,nll,equal,1.129693439381379,1.0313325266702238,1.223809473380292,1403,999
MHB,"Beta, no hurdle",nll,equal,1.1456358925963654,1.0599536366345959,1.235724703535534,1403,999
MHB,"Hurdle beta, post-hoc coherence",nll,equal,5.190145635202399,4.6319381807940845,5.7733648816188845,1403,999
MHB,DR normal,is,equal,-0.003849093246328027,-0.004849193048788525,-0.0029692571368687497,1403,999
MHB,DR-AS normal,is,equal,-0.0038653865920864404,-0.004888839044670541,-0.002920734467809173,1403,999
MHB,"Beta, no hurdle",is,equal,-0.0037481210107318595,-0.004724911262599748,-0.0028865968203034913,1403,999
MHB,"Hurdle beta, post-hoc coherence",is,equal,-2.948970309938154e-05,-0.00010209895046056808,4.8818710229360626e-05,1403,999
MHB,DR normal,nll,volume,4.058097379865665,-6.32688942731445,11.641894463225407,1384,999
MHB,DR-AS normal,nll,volume,-2.40848959597969,-6.305012415166147,-0.9082140988714759,1384,999
MHB,"Beta, no hurdle",nll,volume,0.7452006783412153,0.6153381163433931,1.0914672902455766,1384,999
MHB,"Hurdle beta, post-hoc coherence",nll,volume,0.5100565278586402,0.1336873179077828,1.4048636091376439,1384,999
MHB,DR normal,is,volume,0.025157139387631377,-0.016366217335184195,0.055845185787891105,1384,999
MHB,DR-AS normal,is,volume,-0.025723492285398622,-0.03978682147013504,-0.011496643957489453,1384,999
MHB,"Beta, no hurdle",is,volume,-0.0027471291600448156,-0.014321632619736888,0.004413540768163983,1384,999
MHB,"Hurdle beta, post-hoc coherence",is,volume,-0.0003612927050524823,-0.001214333136860892,-6.111397052638955e-06,1384,999
MHB,DR normal,nll,contract_balanced,0.3417982675175453,-1.4207378947748173,1.986619295888611,1403,999
MHB,DR-AS normal,nll,contract_balanced,-2.2187642371199323,-3.6142846648941,-1.016456450329872,1403,999
MHB,"Beta, no hurdle",nll,contract_balanced,1.1150681365563158,0.8285716191616251,1.564851869723539,1403,999
MHB,"Hurdle beta, post-hoc coherence",nll,contract_balanced,2.434560022160028,1.6235463240397563,3.585572490327888,1403,999
MHB,DR normal,is,contract_balanced,-0.004869996756775917,-0.010803818661731506,0.001444223379998969,1403,999
MHB,DR-AS normal,is,contract_balanced,-0.008809365586315454,-0.010975948237644445,-0.0067546471943356655,1403,999
MHB,"Beta, no hurdle",is,contract_balanced,-0.008095080329469827,-0.009733340469567827,-0.006473389289677786,1403,999
MHB,"Hurdle beta, post-hoc coherence",is,contract_balanced,-0.0004945609330560654,-0.0008577790639691541,-0.00012100145469850938,1403,999
