model,model_slug,mean,variance,grid_cvm
DR normal,dr_normal,0.5007605934859112,0.03076103959848532,0.020636386201558214
DR-AS normal,dras_normal,0.5007041801221227,0.02945960394540185,0.02170492771122752
MHB,mhb,0.5014161803885333,0.0881401845598848,7.457845807868167e-05
