model,model_slug,weighting,brier_score,log_loss,predicted_update_rate,observed_update_rate
Separate hazard,unconstrained,equal,0.13902515799523849,0.5016636734942621,0.12805290349491094,0.16761466755079155
Post-hoc coherent hazard,posthoc,equal,0.1389225138090037,0.4977280151829635,0.1289708535922369,0.16761466755079155
MHB coherent hazard,mhb,equal,0.14441852882270328,0.5010077946676877,0.14331614150281868,0.16761466755079155
Separate hazard,unconstrained,volume,0.22829039654999328,0.6687867179490258,0.5022514523739177,0.4437454303501315
Post-hoc coherent hazard,posthoc,volume,0.22895668516952553,0.7123747687632415,0.5036178821010928,0.4437454303501315
MHB coherent hazard,mhb,volume,0.23107973166361773,0.7196970011980055,0.4981607803849114,0.4437454303501315
Separate hazard,unconstrained,contract_balanced,0.23223814805436643,0.7075581417834507,0.45302056162712456,0.4307858951720945
Post-hoc coherent hazard,posthoc,contract_balanced,0.23362186466957152,0.7702714952317207,0.4555874182998807,0.4307858951720945
MHB coherent hazard,mhb,contract_balanced,0.23404875008469458,0.7727361309719404,0.45360448297761485,0.4307858951720945
