model,model_slug,weighting,level,coverage,interval_score,width
DR normal,dr_normal,equal,0.5,0.9251444307229343,0.019312003677474758,0.014668661322726097
DR normal,dr_normal,volume,0.5,0.6837917134913629,0.06446716837446305,0.036270074775956486
DR normal,dr_normal,contract_balanced,0.5,0.8287877148865916,0.06400999815683778,0.04726526687945465
DR-AS normal,dras_normal,equal,0.5,0.9306884615618594,0.01977025184924095,0.015369822942723457
DR-AS normal,dras_normal,volume,0.5,0.8850504997426407,0.07419637006722876,0.05609835803766903
DR-AS normal,dras_normal,contract_balanced,0.5,0.9230942793204336,0.0733319199185691,0.06103766237268062
"Beta, no hurdle",beta_no_hurdle,equal,0.5,0.9226654337585649,0.019438149219393037,0.01480444573066443
"Beta, no hurdle",beta_no_hurdle,volume,0.5,0.7707404439670164,0.0703070140774337,0.046796454509458636
"Beta, no hurdle",beta_no_hurdle,contract_balanced,0.5,0.8708734907758894,0.07184783027563417,0.05597938254596623
"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,0.5,0.8421360538423946,0.009986556891353254,0.0013992104271566136
"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,0.5,0.6768001760031581,0.05995482581275796,0.02668384829723626
"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,0.5,0.7491876812576794,0.055500148905702616,0.03273574692130643
MHB,mhb,equal,0.5,0.8421684987924395,0.010031733189056162,0.00145557004983057
MHB,mhb,volume,0.5,0.672897632447488,0.06010367772177703,0.02597592475086849
MHB,mhb,contract_balanced,0.5,0.7457639395912141,0.055505822674708945,0.03250608616091546
DR normal,dr_normal,equal,0.8,0.9644504737976611,0.03619336401664079,0.027599142647246756
DR normal,dr_normal,volume,0.8,0.805438424842725,0.11375016001175622,0.06658883088036839
DR normal,dr_normal,contract_balanced,0.8,0.9124630188913398,0.1182410758434349,0.08587236750982202
DR-AS normal,dras_normal,equal,0.8,0.9677862202241541,0.03693798553703124,0.028901310495380035
DR-AS normal,dras_normal,volume,0.8,0.9347915369815668,0.12282474733993798,0.10224863854364513
DR-AS normal,dras_normal,contract_balanced,0.8,0.9651819766678942,0.1327356971668212,0.11079602526690072
"Beta, no hurdle",beta_no_hurdle,equal,0.8,0.9660473736826843,0.03642168646527919,0.0281874262730341
"Beta, no hurdle",beta_no_hurdle,volume,0.8,0.9015246246636816,0.11893007243489813,0.08624767663331565
"Beta, no hurdle",beta_no_hurdle,contract_balanced,0.8,0.9508213687844365,0.1275715403144051,0.10294508372488305
"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,0.8,0.8765773822197618,0.025089851136159167,0.008128915206449667
"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,0.8,0.8781531696472346,0.11003158083841125,0.07373626540267374
"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,0.8,0.8962120701363727,0.11726655827918171,0.08594597296431619
MHB,mhb,equal,0.8,0.8783902438035215,0.025406471229695762,0.008625903067107457
MHB,mhb,volume,0.8,0.8763387707425747,0.1090691992920128,0.07253229597724786
MHB,mhb,contract_balanced,0.8,0.8961828228610662,0.11712309617070008,0.08577622419160913
DR normal,dr_normal,equal,0.95,0.9796073349920814,0.06945449076968134,0.041654874436732305
DR normal,dr_normal,volume,0.95,0.8763440412282043,0.24063322697961742,0.09706839868997001
DR normal,dr_normal,contract_balanced,0.95,0.9439536064863797,0.23134788410291546,0.1232582208253717
DR-AS normal,dras_normal,equal,0.95,0.9818277862607804,0.06943819742392292,0.043590936019169864
DR-AS normal,dras_normal,volume,0.95,0.9801317876075155,0.18975259530658745,0.14848643013446408
DR-AS normal,dras_normal,contract_balanced,0.95,0.9785351703000287,0.22740851527337594,0.15926282603594707
"Beta, no hurdle",beta_no_hurdle,equal,0.95,0.981400932386752,0.06955546300527751,0.043309933018556214
"Beta, no hurdle",beta_no_hurdle,volume,0.95,0.9484848851652191,0.21272895843194123,0.12826225323669022
"Beta, no hurdle",beta_no_hurdle,contract_balanced,0.95,0.9732140631096725,0.22812280053022158,0.15258322820722683
"Hurdle beta, post-hoc coherence",hurdle_posthoc,equal,0.95,0.9354010905558834,0.07327409431290999,0.030828469691209393
"Hurdle beta, post-hoc coherence",hurdle_posthoc,volume,0.95,0.9485945146281319,0.2151147948869336,0.13822872849814288
"Hurdle beta, post-hoc coherence",hurdle_posthoc,contract_balanced,0.95,0.9620671351031665,0.23572331992663537,0.158598759750062
MHB,mhb,equal,0.95,0.9378162115248518,0.07330358401600935,0.03170240134081135
MHB,mhb,volume,0.95,0.9484907579718821,0.21547608759198605,0.13859070889462766
MHB,mhb,contract_balanced,0.95,0.9624458703411503,0.2362178808596914,0.1593707493714275
